"id","user_id","subject","topic","created_at","updated_at"
"1","1","Math","calculus","2025-10-29 15:53:33","2025-10-29 15:53:33"
"2","1","Math","calculus","2025-10-29 15:53:33","2025-10-29 15:53:33"
"3","1","math","calculus","2025-10-29 16:04:30","2025-10-29 16:04:30"
"4","1","Matematika","kalkulus","2025-10-29 16:16:47","2025-10-29 16:16:47"
